Date,KLB-Core,TP-Core,Total
09/06/2020,615,732,1347
10/06/2020,723,877,1600
12/06/2020,767,518,1285
13/06/2020,446,342,788
14/06/2020,186,185,371
15/06/2020,597,900,1497
16/06/2020,718,678,1396
17/06/2020,818,791,1609
18/06/2020,680,879,1559
19/06/2020,811,836,1647
20/06/2020,308,361,669
21/06/2020,255,330,585
22/06/2020,805,742,1547
23/06/2020,594,902,1496
24/06/2020,715,718,1433
25/06/2020,572,599,1171
26/06/2020,635,630,1265
27/06/2020,453,395,848
28/06/2020,238,197,435
29/06/2020,599,739,1338
30/06/2020,747,627,1374
01/07/2020,662,615,1277
02/07/2020,567,821,1388
03/07/2020,522,506,1028
04/07/2020,495,236,731
11/07/2020,163,171,334
12/07/2020,212,134,346
13/07/2020,619,716,1335
14/07/2020,685,718,1403
15/07/2020,686,752,1438
16/07/2020,638,725,1363
17/07/2020,578,686,1264
18/07/2020,182,225,407
19/07/2020,206,227,433
20/07/2020,638,596,1234
21/07/2020,747,666,1413
22/07/2020,637,602,1239
23/07/2020,689,648,1337
24/07/2020,652,538,1190
25/07/2020,232,280,512
26/07/2020,186,491,677
27/07/2020,629,677,1306
01/08/2020,346,405,751
02/08/2020,214,197,411
03/08/2020,647,546,1193
04/08/2020,552,581,1133
05/08/2020,589,566,1155
06/08/2020,687,545,1232
07/08/2020,607,522,1129
08/08/2020,215,538,753
09/08/2020,190,589,779
10/08/2020,478,786,1264
11/08/2020,773,665,1438
12/08/2020,534,556,1090
13/08/2020,518,650,1168
14/08/2020,527,693,1220
15/08/2020,217,464,681
16/08/2020,355,287,642
17/08/2020,512,584,1096
18/08/2020,527,707,1234
19/08/2020,651,820,1471
20/08/2020,787,773,1560
21/08/2020,760,485,1245
22/08/2020,325,569,894
23/08/2020,350,575,925
24/08/2020,545,759,1304
25/08/2020,695,579,1274
26/08/2020,654,550,1204
27/08/2020,642,687,1329
28/08/2020,408,523,931
29/08/2020,191,497,688
30/08/2020,234,162,396
31/08/2020,372,380,752
01/09/2020,590,642,1232
02/09/2020,517,800,1317
03/09/2020,603,782,1385
04/09/2020,453,614,1067
05/09/2020,206,516,722
06/09/2020,373,493,866
07/09/2020,611,597,1208
08/09/2020,274,481,755
09/09/2020,232,160,392
10/09/2020,819,655,1474
11/09/2020,833,692,1525
12/09/2020,773,208,981
13/09/2020,419,176,595
14/09/2020,712,983,1695
15/09/2020,704,839,1543
16/09/2020,717,1000,1717
17/09/2020,608,637,1245
18/09/2020,989,620,1609
19/09/2020,761,251,1012
20/09/2020,367,235,602
21/09/2020,782,546,1328
22/09/2020,771,651,1422
23/09/2020,1513,753,2266
24/09/2020,1196,757,1953
25/09/2020,810,756,1566
26/09/2020,323,312,635
27/09/2020,315,231,546
28/09/2020,860,710,1570
29/09/2020,1048,873,1921
30/09/2020,904,822,1726
01/10/2020,1032,913,1945
02/10/2020,949,831,1780
03/10/2020,578,831,1409
04/10/2020,262,317,579
05/10/2020,911,866,1777
06/10/2020,993,1008,2001
07/10/2020,947,872,1819
08/10/2020,874,929,1803
09/10/2020,899,839,1738
10/10/2020,319,281,600
11/10/2020,328,234,562
12/10/2020,873,768,1641
13/10/2020,837,771,1608
14/10/2020,923,779,1702
15/10/2020,1225,715,1940
16/10/2020,802,789,1591
17/10/2020,222,146,368
18/10/2020,622,269,891
19/10/2020,1026,732,1758
20/10/2020,888,905,1793
21/10/2020,899,791,1690
22/10/2020,960,792,1752
23/10/2020,811,744,1555
24/10/2020,292,305,597
25/10/2020,487,395,882
26/10/2020,755,865,1620
27/10/2020,918,737,1655
28/10/2020,778,785,1563
29/10/2020,1135,790,1925
30/10/2020,677,625,1302
31/10/2020,754,403,1157
01/11/2020,630,343,973
02/11/2020,922,844,1766
03/11/2020,802,742,1544
04/11/2020,977,1473,2450
05/11/2020,1041,972,2013
06/11/2020,1283,1100,2383
07/11/2020,506,390,896
08/11/2020,257,337,594
09/11/2020,879,935,1814
10/11/2020,926,880,1806
2020-11-11, 926, 938, 1864
2020-11-12, 1012, 951, 1963
2020-11-13, 798, 997, 1795
2020-11-14, 450, 245, 695
2020-11-15, 412, 317, 729

2020-11-16, 961, 822, 1783
2020-11-17, 977, 891, 1868
2020-11-18, 854, 1077, 1931
2020-11-19, 863, 979, 1842
2020-11-20, 1042, 820, 1862
2020-11-21, 382, 332, 714
2020-11-22, 341, 335, 676
2020-11-23, 1062, 848, 1910
2020-11-24, 913, 939, 1852
2020-11-25, 878, 1082, 1960
2020-11-26, 916, 758, 1674
2020-11-27, 988, 852, 1840
2020-11-28, 273, 319, 592
2020-11-29, 472, 260, 732
2020-11-30, 1084, 901, 1985
2020-12-01, 909, 974, 1883
2020-12-02, 856, 930, 1786
2020-12-03, 845, 956, 1801
2020-12-04, 1058, 715, 1773
2020-12-05, 424, 268, 692
2020-12-06, 263, 301, 564
2020-12-07, 1184, 879, 2063
