Date,UCL - Staff,UCL - Students,UCL - Connections,Total Vistors,Total  Connection
05-Oct,,,6408,2491,8899
06-Oct,,,6619,2622,9241
07-Oct,,,6705,2730,9435
08-Oct,,,6521,2559,9080
09-Oct,,,6476,2908,9384
10-Oct,,,3578,2458,6036
11-Oct,,,3359,2073,5432
12-Oct,,,6812,2540,9352
13-Oct,,,6870,2666,9536
14-Oct,,,6989,2752,9741
15-Oct,,,6937,2982,9919
16-Oct,,,6728,3124,9852
17-Oct,,,3708,2304,6012
18-Oct,,,3415,1879,5294
19-Oct,,,7001,2669,9670
20-Oct,,,7265,2790,10055
21-Oct,,,6933,1966,8899
22-Oct,,,7488,3117,10605
23-Oct,,,7345,3088,10433
24-Oct,,,4021,2485,6506
25-Oct,,,3755,2239,5994
26-Oct,,,7342,2894,10236
27-Oct,,,7446,2897,10343
28-Oct,,,7405,3031,10436
29-Oct,,,7261,2896,10157
30-Oct,,,7321,3377,10698
31-Oct,,,4236,2653,6889
01-Nov,,,3876,6560,10436
02-Nov,503,6912,7427,3009,10436
03-Nov,538,7133,7678,3225,10903
04-Nov,463,7104,7567,3424,10991
05-Nov,464,6071,6535,2219,8754
06-Nov,442,6216,6658,2323,8981
07-Nov,127,3625,3752,1862,5614
08-Nov,102,3190,3292,1521,4813
09-Nov,380,6337,6717,2443,9160
10-Nov,398,6447,6845,2591,9436
11-Nov,387,6468,6855,2539,9394
12-Nov,395,6423,6818,2662,9480
13-Nov,367,6295,6662,2777,9439
14-Nov,126,3458,3584,1687,5271
,,,,,
